asn,org,country,vpn_signals,tor_signals,public_feed_overlap,confidence,sources
151660,Neptune Internet,AU,0,4,1,low,tor-radar-network
197019,"WEDOS Internet, a.s.",CZ,0,4,1,low,tor-radar-network
197422,Tetaneutral.net Association declaree,FR,0,4,1,low,tor-radar-network
198985,AQUILENET,FR,0,4,1,low,tor-radar-network
202306,HOSTGLOBAL.PLUS LTD,GB,0,1,3,low,"bad-cidrs-v4,spamhaus-asndrop,tor-radar-network"
203953,Hiper A/S,DK,0,4,1,low,tor-radar-network
205544,LEASEWEB-UK-LON-11,GB,4,0,1,low,asn-vpn-multi-provider
205775,NEON CORE NETWORK LLC,BZ,0,3,2,low,"spamhaus-asndrop,tor-radar-network"
212336,BYTEVIRTLLC,US,4,0,1,low,asn-vpn-multi-provider
212531,INTERNETO-VIZIJA,LT,2,2,2,low,"asn-vpn-multi-provider,tor-radar-network"
213035,AS-SERVERION Serverion B.V.,NL,3,0,2,low,"asn-vpn-multi-provider,spamhaus-asndrop"
213790,Limited Network LTD,AE,0,2,3,low,"bad-cidrs-v4,spamhaus-asndrop,tor-radar-network"
214798,Digital City FZE,NL,0,4,1,low,tor-radar-network
270013,J AND J SPA (INFOFRACTAL),CL,0,4,1,low,tor-radar-network
393886,"Leaseweb USA, Inc.",US,0,4,1,low,tor-radar-network
395954,LEASEWEB-USA-LAX,US,4,0,1,low,asn-vpn-multi-provider
399122,VPS House Technology Group LLC,US,0,4,1,low,tor-radar-network
399486,12651980 CANADA INC.,FR,0,4,1,low,tor-radar-network
278,Universidad Nacional Autonoma de Mexico,MX,0,3,1,low,tor-radar-network
855,Bell Canada,CA,0,3,1,low,tor-radar-network
5408,National Infrastructures for Research and Technology S.A.,GR,0,3,1,low,tor-radar-network
5607,Sky UK Limited,GB,0,3,1,low,tor-radar-network
6128,Cablevision Systems Corp.,US,0,3,1,low,tor-radar-network
6830,Liberty Global Europe Holding B.V.,IE,0,2,2,low,"bad-cidrs-v4,tor-radar-network"
7418,TELEFÓNICA CHILE S.A.,CL,0,3,1,low,tor-radar-network
7489,HostUS,HK,0,3,1,low,tor-radar-network
7684,SAKURA internet // HOKKAIDO BACKBONE,JP,0,3,1,low,tor-radar-network
8400,TELEKOM SRBIJA a.d.,RS,0,3,1,low,tor-radar-network
9136,Wobcom GmbH,DE,0,3,1,low,tor-radar-network
9145,EWE TEL GmbH,DE,0,3,1,low,tor-radar-network
9678,HOSTINGINSIDE HostingInside LTD.,TW,3,0,1,low,asn-vpn-multi-provider
9790,Two Degrees Mobile Limited,NZ,0,3,1,low,tor-radar-network
11351,Charter Communications Inc,US,0,3,1,low,tor-radar-network
11403,NYI,US,0,3,1,low,tor-radar-network
11426,Charter Communications Inc,US,0,3,1,low,tor-radar-network
11776,Breezeline,US,0,3,1,low,tor-radar-network
12400,PARTNER-AS,IL,1,2,2,low,"asn-vpn-multi-provider,tor-radar-network"
12430,VODAFONE ESPANA S.A.U.,ES,0,3,1,low,tor-radar-network
12735,TurkNet Iletisim Hizmetleri A.S.,TR,0,3,1,low,tor-radar-network
13045,htp GmbH,DE,0,3,1,low,tor-radar-network
13693,Vexus Fiber,US,0,1,2,low,"bad-cidrs-v4,tor-radar-network"
15704,XTRA TELECOM S.A.,ES,0,3,1,low,tor-radar-network
17858,LG POWERCOMM,KR,0,1,2,low,"bad-cidrs-v4,tor-radar-network"
18526,"DDPS Networks, LLC",JP,0,3,1,low,tor-radar-network
20001,Charter Communications Inc,US,0,3,1,low,tor-radar-network
20773,Host Europe GmbH,FR,0,1,2,low,"bad-cidrs-v4,tor-radar-network"
21100,GREEN FLOID LLC,NL,0,3,1,low,tor-radar-network
21472,SERVERHOUSE,GB,3,0,1,low,asn-vpn-multi-provider
24806,"INTERNET-CZ Ktis 2, 384 03 Ktis",CZ,2,1,2,low,"asn-vpn-multi-provider,tor-radar-network"
24971,MasterDC s.r.o.,CZ,0,3,1,low,tor-radar-network
25198,ZETSERVERS ZetServers.com - Unmetered Cloud and Dedicated Servers Provider,RO,3,0,1,low,asn-vpn-multi-provider
27651,ENTEL CHILE S.A.,CL,0,3,1,low,tor-radar-network
28640,VIPWAY Telecomunicações Ltda,BR,0,3,1,low,tor-radar-network
29314,VECTRA S.A.,PL,0,3,1,low,tor-radar-network
31863,DACEN-2,US,1,2,2,low,"asn-vpn-multi-provider,tor-radar-network"
34087,NTE TELEKOM AS,NO,0,3,1,low,tor-radar-network
34689,Castlegem SRL,US,0,2,2,low,"bad-cidrs-v4,tor-radar-network"
34971,PDDA-AS,IT,2,1,2,low,"asn-vpn-multi-provider,tor-radar-network"
35179,Korbank S. A.,PL,0,3,1,low,tor-radar-network
36236,NETACTUATE,US,2,1,2,low,"asn-vpn-multi-provider,tor-radar-network"
36850,University of North Carolina at Chapel Hill,US,0,3,1,low,tor-radar-network
39378,servinga GmbH,DE,0,3,1,low,tor-radar-network
39421,Sapinet SAS,FR,0,1,2,low,"bad-cidrs-v4,tor-radar-network"
39618,HostCram LLC,US,0,3,1,low,tor-radar-network
42189,Druzstvo EUROSIGNAL,CZ,0,2,2,low,"bad-cidrs-v4,tor-radar-network"
45045,FOP Kazakov Oleksandr Oleksandrovich,UA,0,3,1,low,tor-radar-network
45758,Triple T Broadband Public Company Limited,TH,0,3,1,low,tor-radar-network
46015,EXABYTES-AS-AP Exa Bytes Network Sdn.Bhd.,MY,2,1,2,low,"asn-vpn-multi-provider,tor-radar-network"
46690,Verizon Business,US,0,3,1,low,tor-radar-network
48927,ESEVEN DevOps GmbH,DE,0,3,1,low,tor-radar-network
50098,Melbikomas UAB,RU,0,3,1,low,tor-radar-network
50436,Tele Columbus AG,DE,0,3,1,low,tor-radar-network
52469,Offshore Racks S.A,PA,3,0,1,low,asn-vpn-multi-provider
56694,SMARTAPE,RU,3,0,1,low,asn-vpn-multi-provider
56803,AS-DATASOURCE,CH,2,1,2,low,"asn-vpn-multi-provider,tor-radar-network"
57860,Zencurity ApS,DK,0,3,1,low,tor-radar-network
58791,GMO Internet Group Inc.,JP,0,3,1,low,tor-radar-network
58955,"BANGMODENTERPRISE-TH Bangmod Enterprise Co., Ltd.",TH,2,1,2,low,"asn-vpn-multi-provider,tor-radar-network"
59787,WEBHS WEBSP LDA,PT,3,0,1,low,asn-vpn-multi-provider
59895,BINARYRACKS-AS,GB,3,0,1,low,asn-vpn-multi-provider
60117,Host Sailor Ltd,NL,0,3,1,low,tor-radar-network
61102,INTERHOST,IL,3,0,1,low,asn-vpn-multi-provider
62217,VOOSERVERS,GB,2,1,2,low,"asn-vpn-multi-provider,tor-radar-network"
62296,VITALNG,US,3,0,1,low,asn-vpn-multi-provider
62336,PURtel.com GmbH,DE,0,3,1,low,tor-radar-network
62390,NexonHost Srl,RO,0,1,2,low,"bad-cidrs-v4,tor-radar-network"
64289,Macarne.com,NL,0,2,2,low,"bad-cidrs-v4,tor-radar-network"
142036,Hosteons Pte. Ltd.,DE,0,3,1,low,tor-radar-network
149440,Evoxt Sdn. Bhd.,MY,0,3,1,low,tor-radar-network
151873,TOTHOST SOLUTIONS AND TECHNOLOGIES COMPANY LIMITED,VN,0,2,2,low,"bad-cidrs-v4,tor-radar-network"
152992,ONLINE DATA COMPANY LIMITED,VN,0,3,1,low,tor-radar-network
197922,Techcrea Solutions SAS,FR,0,3,1,low,tor-radar-network
198189,Throttle Limited,GB,0,2,2,low,"spamhaus-asndrop,tor-radar-network"
199058,SERVA ONE LTD,PL,0,3,1,low,tor-radar-network
